gene,Ensembl_ID,lfc_DEG1,padj_DEG1,lfc_DEG2,padj_DEG2,lfc_DEG3,padj_DEG3,lfc_DEG4,padj_DEG4
Hmox1,ENSMUSG00000005413,2.36320382773236,7.71648732432368e-42,NA,NA,2.04458843296277,1.03505678684369e-30,NA,NA
Mthfd2,ENSMUSG00000005667,5.67223343420831,2.08745832540041e-162,NA,NA,4.55601720194048,3.20498347606819e-103,2.70437302463074,1.97666849338964e-34
Itgae,ENSMUSG00000005947,2.01047406175003,2.46283636697548e-05,NA,NA,2.11562145065912,1.40342919448096e-05,NA,NA
Fam131c,ENSMUSG00000006218,2.8764866138832,3.20647162765885e-17,-2.08675200827487,1.57078550334768e-13,NA,NA,NA,NA
Adamts4,ENSMUSG00000006403,3.22583404374213,2.77348749007107e-05,-2.03880663708492,0.0081447438754248,NA,NA,NA,NA
Itih3,ENSMUSG00000006522,2.63833347686117,3.11098375214853e-09,NA,NA,NA,NA,NA,NA
Casq1,ENSMUSG00000007122,-2.60445024154931,2.29558002679036e-14,NA,NA,NA,NA,NA,NA
Hapln4,ENSMUSG00000007594,4.82504669228362,6.37135129130713e-16,-3.21601642735805,1.91791804992091e-17,NA,NA,NA,NA
Gabrb2,ENSMUSG00000007653,3.76130647178769,0.000967219665354743,NA,NA,NA,NA,NA,NA
Dio2,ENSMUSG00000007682,2.68943607423022,1.17112930377806e-49,NA,NA,2.77425410730964,8.78931536374414e-52,NA,NA
Crlf1,ENSMUSG00000007888,5.54694220102689,4.68740048918065e-82,NA,NA,4.59840594097297,3.79756223385009e-55,NA,NA
Fut1,ENSMUSG00000008461,4.97678151172888,1.60013332371121e-09,-2.10732341935712,1.9842470352696e-07,2.86945809237176,0.00176117754029201,4.82436331128159,0.00038114166193127
Rbfox1,ENSMUSG00000008658,-2.99952717205552,7.52731457669108e-159,NA,NA,NA,NA,NA,NA
Clec3a,ENSMUSG00000008874,-2.63615570272531,1.39802385479173e-08,NA,NA,NA,NA,NA,NA
Slc1a7,ENSMUSG00000008932,-2.35969609363339,5.47658045729813e-07,NA,NA,NA,NA,NA,NA
Ccl8,ENSMUSG00000009185,2.71778251722348,1.88522794451527e-11,NA,NA,2.04070503438447,1.52932950266639e-06,NA,NA
Prr29,ENSMUSG00000009210,-2.5156422034428,5.29032394948656e-09,NA,NA,NA,NA,NA,NA
Otog,ENSMUSG00000009487,4.69853843510919,2.37519138845919e-15,-2.92751733340577,9.66678354009863e-16,NA,NA,NA,NA
Taf7l,ENSMUSG00000009596,7.29763144403253,1.6706052620761e-13,-2.42802813925792,1.54983665183096e-10,4.86960330477461,4.96151649124417e-06,NA,NA
Spire2,ENSMUSG00000010154,2.94315204648183,0.000488538819279121,NA,NA,NA,NA,NA,NA
Uckl1os,ENSMUSG00000010492,-3.69703151851052,1.92547030088781e-26,2.2120117246399,2.74405610066169e-10,NA,NA,NA,NA
Slc5a1,ENSMUSG00000011034,-2.50952049504379,5.71438459664412e-06,NA,NA,NA,NA,NA,NA
Adam19,ENSMUSG00000011256,2.04524977271804,3.81270477480352e-15,NA,NA,NA,NA,NA,NA
Sptbn4,ENSMUSG00000011751,2.32785611215418,3.6271990523782e-12,-2.28036877872455,9.42978365833207e-13,NA,NA,NA,NA
2200002J24Rik,ENSMUSG00000013083,4.83488243900105,1.74997312352859e-05,-2.88832862130933,0.00048071843669881,NA,NA,NA,NA
Igf2bp1,ENSMUSG00000013415,3.3280673777957,0.00465933231107017,-2.50875529866847,0.00920876462486698,NA,NA,NA,NA
B4galnt2,ENSMUSG00000013418,8.41097538604011,3.9115880466517e-18,NA,NA,6.9390291607119,3.93907169445511e-12,NA,NA
Mcemp1,ENSMUSG00000013974,3.41997750949655,0.00328175902057306,NA,NA,NA,NA,NA,NA
Pkd2l2,ENSMUSG00000014503,-3.05238318092771,4.22615758753781e-117,2.5235068109488,2.18762166095542e-81,NA,NA,NA,NA
Kif1a,ENSMUSG00000014602,3.40127840074688,1.18854883581767e-46,NA,NA,2.02686629329257,2.04888111865156e-16,NA,NA
Clic3,ENSMUSG00000015093,2.48878617106314,0.000207938358325073,-2.34088895864729,0.000127459723631627,NA,NA,NA,NA
Slamf1,ENSMUSG00000015316,-2.05241090156859,8.76046152657897e-05,NA,NA,NA,NA,NA,NA
Ace2,ENSMUSG00000015405,2.54281477209907,3.16603838283948e-26,NA,NA,NA,NA,NA,NA
Gata3,ENSMUSG00000015619,-2.22909370567929,1.02664487080779e-05,NA,NA,NA,NA,NA,NA
Steap1,ENSMUSG00000015652,6.06206188600943,4.18731293497599e-14,-3.61963693433489,3.62278746137974e-20,2.44242495167454,0.00930843941295565,NA,NA
Steap2,ENSMUSG00000015653,2.56214598867528,8.00308214149477e-39,NA,NA,NA,NA,NA,NA
Lonrf3,ENSMUSG00000016239,3.05308227552239,1.02517943068302e-08,NA,NA,NA,NA,NA,NA
Atp1b4,ENSMUSG00000016327,6.45207126010375,4.42597422243571e-09,NA,NA,5.41753199267088,2.27215079546294e-06,NA,NA
Dyrk3,ENSMUSG00000016526,2.18410181823868,0.000202156671870718,NA,NA,NA,NA,NA,NA
Gsdma,ENSMUSG00000017204,5.13508104466675,9.21355084587478e-17,NA,NA,3.3875846224976,2.83427916696737e-07,NA,NA
Sfrp5,ENSMUSG00000018822,-2.24585475046588,1.76952227504055e-12,NA,NA,NA,NA,NA,NA
Ccl4,ENSMUSG00000018930,2.49522888901519,3.64450209226264e-05,NA,NA,2.29828605211424,0.000262043886359942,NA,NA
Mical1,ENSMUSG00000019823,2.03379758221706,9.70728182285449e-48,NA,NA,NA,NA,NA,NA
Arfgef3,ENSMUSG00000019852,4.86470918213783,7.2722910433707e-37,-2.50854891129533,9.85198764961497e-34,2.3561602708425,2.82621919733226e-08,NA,NA
Hebp2,ENSMUSG00000019853,2.17972520003852,2.61686552125762e-30,NA,NA,NA,NA,NA,NA
Kera,ENSMUSG00000019932,-3.5564612441484,0.00138724605396221,4.09945861736907,0.00013823752296403,NA,NA,NA,NA
Mrln,ENSMUSG00000019933,-3.29265094583646,1.38604412549115e-12,2.20508216781045,9.03285138254046e-06,NA,NA,NA,NA
Ctgf,ENSMUSG00000019997,3.08630717719243,1.52169267442126e-78,NA,NA,2.22962651004188,2.26203862997942e-40,NA,NA
Sycp3,ENSMUSG00000020059,2.06877753634538,0.00200181996671193,NA,NA,NA,NA,NA,NA
Pcbd1,ENSMUSG00000020098,2.15726839894789,3.3446335600353e-16,NA,NA,NA,NA,NA,NA
Slc1a4,ENSMUSG00000020142,2.58191511735647,6.30470575911724e-39,NA,NA,NA,NA,NA,NA
Ddc,ENSMUSG00000020182,-2.73815047746288,4.80792117652052e-68,NA,NA,NA,NA,NA,NA
Aldh1l2,ENSMUSG00000020256,2.17767016871532,5.87337897454906e-76,NA,NA,NA,NA,NA,NA
Slc22a4,ENSMUSG00000020334,2.03138999585727,8.73482080491598e-32,NA,NA,NA,NA,NA,NA
Upp1,ENSMUSG00000020407,2.67829419234831,2.60388509213081e-55,NA,NA,NA,NA,NA,NA
Nrcam,ENSMUSG00000020598,3.96270610760975,4.69311901614758e-25,-2.58937312123358,7.12208338978315e-23,NA,NA,NA,NA
Fam84a,ENSMUSG00000020607,-2.3061660357102,1.20527308527765e-12,NA,NA,NA,NA,NA,NA
Slc26a4,ENSMUSG00000020651,-3.52691807952949,0.00286471430262613,NA,NA,NA,NA,NA,NA
Grin2c,ENSMUSG00000020734,4.6687002861893,2.47242175880228e-32,-3.19417215441219,1.18870371223112e-17,NA,NA,NA,NA
Spata20,ENSMUSG00000020867,-2.8908563644842,6.42884670153681e-10,2.08763558584733,2.30780168788971e-05,NA,NA,NA,NA
Cacnb1,ENSMUSG00000020882,2.90304577832249,1.20716626969071e-120,-2.30155012429242,3.99210188770837e-87,NA,NA,NA,NA
Aloxe3,ENSMUSG00000020892,2.52498847738795,0.00049942915073067,NA,NA,NA,NA,NA,NA
Cfap52,ENSMUSG00000020904,4.26873743646379,3.61773375213902e-08,NA,NA,3.75097647649555,3.36475330638612e-06,NA,NA
Rab15,ENSMUSG00000021062,2.27225646343652,4.15048598516751e-22,NA,NA,NA,NA,NA,NA
Serpina3n,ENSMUSG00000021091,4.62893544585246,5.49972643902632e-58,NA,NA,3.17824802393783,4.8031501887241e-27,NA,NA
Otub2,ENSMUSG00000021203,3.24472277673302,3.9473954619286e-128,-2.3169652652992,5.33208464267973e-77,NA,NA,NA,NA
Akr1c18,ENSMUSG00000021214,5.39348887682343,3.38737665362169e-06,-3.70490085270401,0.00032816433046244,NA,NA,NA,NA
Gpr132,ENSMUSG00000021298,2.09626759137298,1.29500249780845e-06,NA,NA,NA,NA,NA,NA
Serpinb9b,ENSMUSG00000021403,2.25343444045193,1.89544338713329e-09,NA,NA,NA,NA,NA,NA
Ctsl,ENSMUSG00000021477,2.01818766740915,1.3369756239861e-88,NA,NA,NA,NA,NA,NA
Lect2,ENSMUSG00000021539,3.89760286137137,0.00117759600859027,NA,NA,NA,NA,NA,NA
Hapln1,ENSMUSG00000021613,-2.1663375517741,1.23469044103321e-06,NA,NA,NA,NA,NA,NA
Elovl7,ENSMUSG00000021696,2.75082086504914,4.9656181871916e-14,NA,NA,NA,NA,NA,NA
Thbs4,ENSMUSG00000021702,3.55715518133018,1.02232968575083e-78,NA,NA,3.49587153244625,7.45735731638044e-75,NA,NA
