"ID","mean_Ctrl3w","mean_KO3w","mean_Ctrl8w_NaCl","mean_KO8w_NaCl","mean_KO8w_AAV"
"ENSMUSG00000000581",1285.4,1170.66666666667,1056.6,1168,970.833333333333
"ENSMUSG00000000594",613,558.5,527.4,618.833333333333,693.5
"ENSMUSG00000000600",1703,1562,1283,1514,1340.16666666667
"ENSMUSG00000000605",3712.6,3485.83333333333,3228,2451.83333333333,2833.33333333333
"ENSMUSG00000000617",0,0,0,0.166666666666667,0.166666666666667
"ENSMUSG00000000627",24.4,24.1666666666667,14,15.5,18.6666666666667
"ENSMUSG00000000628",9540.2,8771.5,11207.6,9474.66666666667,7601.16666666667
"ENSMUSG00000000631",7186,6413.83333333333,6289,6663.83333333333,5991.66666666667
"ENSMUSG00000000632",15,9.33333333333333,13,8.33333333333333,15.3333333333333
"ENSMUSG00000000673",5.8,2.33333333333333,2.6,4.16666666666667,8.66666666666667
"ENSMUSG00000000682",144,108.833333333333,101.4,248.666666666667,266.833333333333
"ENSMUSG00000000686",31.2,29.6666666666667,37.6,83.8333333333333,79.6666666666667
"ENSMUSG00000000690",0.6,1.33333333333333,0.8,2,2.66666666666667
"ENSMUSG00000000693",315,339.166666666667,253.8,1324.66666666667,1193.33333333333
"ENSMUSG00000000706",1.2,1.16666666666667,1.2,1.16666666666667,0.833333333333333
"ENSMUSG00000000708",2912.8,2672,2301.6,2514.5,2332.5
"ENSMUSG00000000711",1428.4,1296.5,1273.6,1231.83333333333,1212
"ENSMUSG00000000730",4.8,2.33333333333333,4.8,7.33333333333333,4.16666666666667
"ENSMUSG00000000731",0,0,0,0.666666666666667,0.666666666666667
"ENSMUSG00000000732",337.6,314,375,387.166666666667,438.666666666667
"ENSMUSG00000000738",3344.6,3212,3120.4,2985.5,3038.83333333333
"ENSMUSG00000000739",16,20.1666666666667,20,58.1666666666667,51.1666666666667
"ENSMUSG00000000740",348.8,303,249.6,331.166666666667,229.833333333333
"ENSMUSG00000000743",1608.4,1522.66666666667,1633.4,2273.83333333333,1885.66666666667
"ENSMUSG00000000751",2827.2,2433.33333333333,1941.6,1657.33333333333,1834.83333333333
"ENSMUSG00000000753",1207.2,1307.16666666667,1139.8,3630.33333333333,3661.83333333333
"ENSMUSG00000000759",945.8,870.666666666667,768.2,888.333333333333,803.5
"ENSMUSG00000000766",0,0,0,0,0.166666666666667
"ENSMUSG00000000776",654.6,630.666666666667,536.6,776.333333333333,473.666666666667
"ENSMUSG00000000782",28.6,25.8333333333333,23.4,21.1666666666667,21.3333333333333
"ENSMUSG00000000787",6809,6099.16666666667,5299.8,7163.66666666667,5307
"ENSMUSG00000000791",4,0.833333333333333,1.2,4.33333333333333,3.83333333333333
"ENSMUSG00000000792",6.4,5,8,13.8333333333333,7.33333333333333
"ENSMUSG00000000794",153,140.5,66.4,54.6666666666667,102.833333333333
"ENSMUSG00000000804",905,854.833333333333,734.6,1222,948
"ENSMUSG00000000805",1222,1388.5,835.6,670.833333333333,765.166666666667
"ENSMUSG00000000811",891.8,792.666666666667,672.2,904.5,662.666666666667
"ENSMUSG00000000817",2.8,1.16666666666667,0.6,1.83333333333333,2
"ENSMUSG00000000823",1147.6,1034,848.2,827.833333333333,854
"ENSMUSG00000000826",3911,3417.5,2683.2,3539.83333333333,2871.16666666667
"ENSMUSG00000000827",2385.8,2199.33333333333,1941,1997.66666666667,1913.83333333333
"ENSMUSG00000000838",834,708.166666666667,533.2,1011.5,722.5
"ENSMUSG00000000861",139.8,97,76.8,43.6666666666667,42
"ENSMUSG00000000869",0.4,0.166666666666667,0.6,0.333333333333333,0.5
"ENSMUSG00000000876",992,945.5,937,655.833333333333,775.833333333333
"ENSMUSG00000000881",316,301.833333333333,252.2,263,284.166666666667
"ENSMUSG00000000884",123.8,112.5,114.4,109.166666666667,91.6666666666667
"ENSMUSG00000000889",188.6,123.166666666667,113.2,12.6666666666667,53
"ENSMUSG00000000901",307.4,264.833333333333,213.2,263.333333333333,281
"ENSMUSG00000000902",1033.8,984.5,717.2,1116.83333333333,765.833333333333
"ENSMUSG00000000903",3.6,3.66666666666667,1.6,3.33333333333333,0.833333333333333
"ENSMUSG00000000915",1184.6,1133.33333333333,852.4,1176.33333333333,1067
"ENSMUSG00000000916",552.8,515.166666666667,440.8,482.333333333333,387.833333333333
"ENSMUSG00000000934",137.6,154.833333333333,158.6,202,134.833333333333
